Known As,Full Name,Overall,Nationality,Age,Club Name,Wage(in Euro)
'L. Messi','Lionel Messi',91,'Argentina',35.0,'Paris Saint-Germain',195000.0
'R. Lewandowski','Robert Lewandowski',91,'Poland',33.0,'FC Barcelona',420000.0
'M. Salah','Mohamed Salah',90,'Egypt',30.0,'Liverpool',270000.0
'T. Courtois','Thibaut Courtois',90,'Belgium',30.0,'Real Madrid CF',250000.0
'M. Neuer','Manuel Neuer',90,'Germany',36.0,'FC Bayern München',72000.0
'Cristiano Ronaldo','C. Ronaldo dos Santos Aveiro',90,'Portugal',37.0,'Manchester United',220000.0
'V. van Dijk','Virgil van Dijk',90,'Netherlands',30.0,'Liverpool',230000.0
'H. Kane','Harry Kane',89,'England',28.0,'Tottenham Hotspur',240000.0
'Neymar Jr','Neymar da Silva Santos Jr.',89,'Brazil',30.0,'Paris Saint-Germain',200000.0
'Casemiro','Carlos Henrique Venancio Casimiro',89,'Brazil',30.0,'Manchester United',240000.0
'J. Oblak','Jan Oblak',89,'Slovenia',29.0,'Atlético de Madrid',100000.0
'Ederson','Ederson Santana de Moraes',89,'Brazil',28.0,'Manchester City',210000.0
'Alisson','Alisson Ramses Becker',89,'Brazil',29.0,'Liverpool',190000.0
'Rúben Dias','Rúben Santos Gato Alves Dias',88,'Portugal',25.0,'Manchester City',230000.0
'E. Haaland','Erling Haaland',88,'Norway',21.0,'Manchester City',220000.0
'G. Donnarumma','Gianluigi Donnarumma',88,'Italy',23.0,'Paris Saint-Germain',110000.0
'Marquinhos','Marcos Aoás Corrêa',88,'Brazil',28.0,'Paris Saint-Germain',170000.0
'K. Navas','Keylor Navas',88,'Costa Rica',35.0,'Paris Saint-Germain',85000.0
'M. ter Stegen','Marc-André ter Stegen',88,'Germany',30.0,'FC Barcelona',210000.0
'T. Kroos','Toni Kroos',88,'Germany',32.0,'Real Madrid CF',310000.0
'L. Modric','Luka Modric',88,'Croatia',36.0,'Real Madrid CF',230000.0
'A. Rüdiger','Antonio Rüdiger',87,'Germany',29.0,'Real Madrid CF',250000.0
'Rodri','Rodrigo Hernández Cascante',87,'Spain',26.0,'Manchester City',200000.0
'H. Lloris','Hugo Lloris',87,'France',35.0,'Tottenham Hotspur',80000.0
'De Gea','David De Gea Quintana',87,'Spain',31.0,'Manchester United',150000.0
'M. Maignan','Mike Maignan',87,'France',26.0,'AC Milan',90000.0
'T. Alexander-Arnold','Trent Alexander-Arnold',87,'England',23.0,'Liverpool',150000.0
'A. Robertson','Andrew Robertson',87,'Scotland',28.0,'Liverpool',185000.0
'K. Koulibaly','Kalidou Koulibaly',87,'Senegal',31.0,'Chelsea',175000.0
'F. de Jong','Frenkie de Jong',87,'Netherlands',25.0,'FC Barcelona',230000.0
'Thiago','Thiago Alcântara',86,'Spain',31.0,'Liverpool',180000.0
'C. Immobile','Ciro Immobile',86,'Italy',32.0,'Lazio',100000.0
'R. Lukaku','Romelu Lukaku',86,'Belgium',29.0,'Inter',200000.0
'D. Alaba','David Alaba',86,'Austria',30.0,'Real Madrid CF',220000.0
'Thiago Silva','Thiago Emiliano da Silva',86,'Brazil',37.0,'Chelsea',115000.0
'W. Szczesny','Wojciech Szczesny',86,'Poland',32.0,'Juventus',125000.0
'K. Trapp','Kevin Trapp',86,'Germany',31.0,'Eintracht Frankfurt',43000.0
'Parejo','Daniel Parejo Muñoz',86,'Spain',33.0,'Villarreal CF',64000.0
'A. Laporte','Aymeric Laporte',86,'Spain',28.0,'Manchester City',195000.0
'K. Coman','Kingsley Coman',86,'France',26.0,'FC Bayern München',105000.0
'N. Barella','Nicolò Barella',86,'Italy',25.0,'Inter',110000.0
'L. Martínez','Lautaro Martínez',86,'Argentina',24.0,'Inter',110000.0
'M. kriniar','Milan kriniar',86,'Slovakia',27.0,'Inter',105000.0
'É. Mendy','Édouard Mendy',86,'Senegal',30.0,'Chelsea',130000.0
'Vinícius Jr.','Vinícius José de Oliveira Júnior',86,'Brazil',21.0,'Real Madrid CF',200000.0
'S. Milinkovic-Savic','Sergej Milinkovic-Savic',86,'Serbia',27.0,'Lazio',90000.0
